onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	5	coherent
51	3.5	incoherent
54.5	3.5	coherent
58	1.5	incoherent
59.5	3	coherent
62.5	1.5	incoherent
64	3.5	coherent
67.5	9	incoherent
76.5	8	coherent
84.5	6	incoherent
90.5	3	coherent
93.5	5.5	incoherent
99	4.5	coherent
103.5	3	incoherent
106.5	2.5	coherent
109	1.5	incoherent
110.5	2	coherent
112.5	1	incoherent
113.5	4.5	coherent
118	15.5	incoherent
133.5	2.5	coherent
136	1.5	incoherent
137.5	1.5	coherent
139	1.5	incoherent
140.5	2	coherent
142.5	2	incoherent
144.5	2	coherent
146.5	1.5	incoherent
148	5	coherent
153	3.5	incoherent
156.5	0.5	coherent
157	0.5	incoherent
157.5	1.5	coherent
159	1.5	incoherent
160.5	3	coherent
163.5	1.5	incoherent
165	15	mae
180	30	static
210	5.5	coherent
210	120	motion
215.5	2	incoherent
217.5	7.5	coherent
225	1.5	incoherent
226.5	2	coherent
228.5	1.5	incoherent
230	2	coherent
232	3.5	incoherent
235.5	1.5	coherent
237	2.5	incoherent
239.5	11.5	coherent
251	5	incoherent
256	2.5	coherent
258.5	4	incoherent
262.5	17.5	coherent
280	4	incoherent
284	7.5	coherent
291.5	5	incoherent
296.5	15.5	coherent
312	4.5	incoherent
316.5	8	coherent
324.5	4	incoherent
328.5	1.5	coherent
330	15	mae
345	30	static
375	15	discard
